Test case , Test Step , Parameters , Page Name , Price Type , Expected Vlaue , Actual Vlaue, Status, OrderNumber, Comments
TC014,41.0,3 Decimal point, , , , , PASS,7064
TC016,48.0,4 Decimal point,OS Print Popup,AppliedDiscontPrice,'-$6.6941,'-$6.5976,FAIL,7066
TC016,48.0,4 Decimal point,User View Orders,Sub Total,'$146.8005,'$144.6840,FAIL,7067
TC016,48.0,4 Decimal point,User View Orders,SubTotal,'$146.8005,'$144.6840,FAIL,7067
TC016,48.0,4 Decimal point,User View Orders,Shipping price,'$41.2564,'$32.5640,FAIL,7067
TC016,48.0,4 Decimal point,User View Orders,SubTotal,'$146.8005,'$144.6840,FAIL,7067
TC016,48.0,4 Decimal point,User View Orders,Discount,'-$6.6941,'-$6.5976,FAIL,7067
TC016,48.0,4 Decimal point,User View Orders,Promotion Disocunt,'-$5.3200,'-$2.3500,FAIL,7067
TC016,48.0,4 Decimal point,User View Orders,Shipping price,'$41.2564,'$32.5640,FAIL,7067
TC016,48.0,4 Decimal point,User View Orders,Tax,'$5.8189,'$5.4142,FAIL,7067
TC016,48.0,4 Decimal point,User View Orders,Total,'$187.0933,'$178.9462,FAIL,7067
TC016,48.0,4 Decimal point,User View Orders,SubTotal,'$146.8005,'$144.6840,FAIL,7067
TC016,48.0,4 Decimal point,User View Orders,Discount,'-$6.6941,'-$6.5976,FAIL,7067
TC016,48.0,4 Decimal point,User View Orders,Promotion Disocunt,'-$5.3200,'-$2.3500,FAIL,7067
TC016,48.0,4 Decimal point,User View Orders,Shipping price,'$41.2564,'$32.5640,FAIL,7067
TC016,48.0,4 Decimal point,User View Orders,Tax,'$5.8189,'$5.4142,FAIL,7067
TC016,48.0,4 Decimal point,User View Orders,Total,'$187.0933,'$178.9462,FAIL,7067
TC016,48.0,4 Decimal point,User Print Popup,PrintTotal,'$187.0933,'$178.9462,FAIL,7067
TC016,48.0,4 Decimal point,User Print Popup,Amount,'$186.5944,'$175.8820,FAIL,7067
TC016,48.0,4 Decimal point,User Print Popup,SubTotal,'$186.5944,'$175.8820,FAIL,7067
TC016,48.0,4 Decimal point,User Print Popup,PromotionDiscount,'-$5.3200,'-$2.3500,FAIL,7067
TC016,48.0,4 Decimal point,User Print Popup,PrintTaxValue,'$5.8189,'$5.4142,FAIL,7067
TC016,48.0,4 Decimal point,User Print Popup,AppliedDiscontPrice,'-$6.6941,'-$6.5976,FAIL,7067
